year	cid	CODE	COUNTRY	Y	K	KBC30	LWDI	secondary	EGC	mlines	troads	cells	proads	rails
1960	1	DZA	Algeria	41926166615.87420	36937997798.25760	75798131073.36850	3348000.00000	0.10650	439.00000	61000.00000	60904.00000	0.00000	12090.00000	4075.00000
1961	1	DZA	Algeria	39219709619.45070	42140334370.70250	78668859649.30670	3285140.00000	0.11020	434.00000	65400.00000	62370.00000	0.00000	12260.00000	3928.00000
1962	1	DZA	Algeria	28789388046.02460	43979099835.60410	78315913597.49210	3342480.00000	0.11440	619.00000	67800.00000	63780.00000	0.00000	12421.00000	3928.00000
1963	1	DZA	Algeria	36899766805.29590	46295429732.03470	78572034668.20950	3297200.00000	0.12210	619.00000	69300.00000	65315.00000	0.00000	12994.00000	3919.00000
1964	1	DZA	Algeria	43765830882.99510	47436973010.93400	77776981650.93820	3373040.00000	0.12800	530.00000	70500.00000	66890.00000	0.00000	13668.00000	3919.00000
1965	1	DZA	Algeria	48910804187.84940	48677992367.22020	77197600488.82420	3338440.00000	0.12980	679.00000	72700.00000	68500.00000	0.00000	14832.00000	3843.00000
1966	1	DZA	Algeria	45116704033.93490	48864733296.42390	75673164930.73160	3427830.00000	0.13420	749.00000	75500.00000	70305.00000	0.00000	16435.00000	3843.00000
1967	1	DZA	Algeria	48685083718.23650	50523993057.94340	75723918794.19270	3398300.00000	0.14250	749.00000	77900.00000	71967.00000	0.00000	18717.00000	3951.00000
1968	1	DZA	Algeria	52693056028.18080	53063514499.47710	76751444691.55140	3497290.00000	0.15250	750.00000	82600.00000	73673.00000	0.00000	20760.00000	3951.00000
1969	1	DZA	Algeria	55596150290.03770	56766419268.46590	79033073649.01580	3468420.00000	0.16320	744.00000	86200.00000	75925.00000	0.00000	24050.00000	3951.00000
1970	1	DZA	Algeria	59971562189.24420	62038815608.60510	82969470726.32200	3573960.00000	0.17310	750.00000	95800.00000	75949.00000	0.00000	24980.00000	3945.00000
1971	1	DZA	Algeria	55119338675.08330	66291023287.60080	85965839098.25470	3684050.00000	0.18000	750.00000	104200.00000	75967.00000	0.00000	24980.00000	3939.00000
1972	1	DZA	Algeria	68443531957.53460	71085099326.75940	89579426188.77400	3798450.00000	0.18880	870.00000	109900.00000	78408.00000	0.00000	25070.00000	3933.00000
1973	1	DZA	Algeria	67662027383.34320	77226935083.65760	94611602333.95130	3916860.00000	0.20100	1107.00000	113000.00000	78408.00000	0.00000	25070.00000	3933.00000
1974	1	DZA	Algeria	64005531556.66020	87372767630.02350	103714354845.30000	4038970.00000	0.21640	1107.00000	121700.00000	78408.00000	0.00000	25070.00000	3919.00000
1975	1	DZA	Algeria	65203541423.48730	98463096139.87330	113824188122.23300	4164680.00000	0.23340	1107.00000	128900.00000	78408.00000	0.00000	25070.00000	3918.00000
1976	1	DZA	Algeria	72882425583.36820	108282491329.65500	122721917793.07300	4294100.00000	0.25100	1160.00000	140383.87500	78408.00000	0.00000	25070.00000	3918.00000
1977	1	DZA	Algeria	74410240010.52300	121702152443.59400	135275213319.20700	4427410.00000	0.26970	1200.00000	171987.84375	78408.00000	0.00000	25870.00000	3891.00000
1978	1	DZA	Algeria	79999503973.45180	137793161819.38400	150551839042.46000	4564900.00000	0.29260	1826.00000	205420.40625	78408.00000	0.00000	28900.00000	3908.00000
1979	1	DZA	Algeria	97394466923.20670	151240279169.20700	163233435758.89800	4706930.00000	0.31850	1826.00000	258881.04688	78408.00000	0.00000	37560.00000	3907.00000
1980	1	DZA	Algeria	96109187691.85170	164370111988.22600	175643679182.53600	4853980.00000	0.35100	2185.00000	309908.21875	72091.00000	0.00000	38929.00000	3907.00000
1981	1	DZA	Algeria	96481302774.83240	178483599378.49300	189080752541.14400	5007760.00000	0.38690	2306.00000	360173.78125	72091.00000	0.00000	38929.00000	3761.00000
1982	1	DZA	Algeria	104694980335.25100	192142960553.16300	202104284526.05500	5168620.00000	0.42350	2809.00000	405537.90625	72091.00000	0.00000	38929.00000	3761.00000
1983	1	DZA	Algeria	110539120418.61200	206031779722.05400	215395424256.57300	5542180.00000	0.46170	3187.00000	443374.56250	72091.00000	0.00000	39000.00000	3761.00000
1984	1	DZA	Algeria	118048654968.06300	219915295929.40800	228717121791.85500	5725080.00000	0.50360	3436.00000	464367.62500	72091.00000	0.00000	38500.00000	3841.00000
1985	1	DZA	Algeria	121819387980.12200	234269382934.33900	242543099245.03900	5907330.00000	0.55030	3546.00000	536035.50000	72091.00000	0.00000	42970.00000	3841.00000
1986	1	DZA	Algeria	131603093733.87500	243978760461.64100	251756053793.70000	6076620.00000	0.59830	3736.00000	578404.18750	73350.00000	0.00000	43160.00000	3841.00000
1987	1	DZA	Algeria	139368745809.38000	248352467236.68400	255663122968.81900	6482000.00000	0.65080	3836.00000	636625.00000	74390.00000	0.00000	44634.00000	3841.00000
1988	1	DZA	Algeria	134505185953.85700	253982032733.25100	260854049121.45800	6657280.00000	0.70930	3936.00000	696636.81250	74500.00000	0.00000	44760.00000	4135.00000
1989	1	DZA	Algeria	138198582479.06900	260363056385.11200	266822751790.02700	6828920.00000	0.76890	4656.00000	751181.18750	74900.00000	0.00000	44810.00000	3836.00000
1990	1	DZA	Algeria	141352342483.96800	265395421179.97000	271467534860.59000	7002800.00000	0.82800	4657.00000	792410.00000	88359.00000	470.00000	44990.00000	4293.00000
1991	1	DZA	Algeria	143959564811.81700	268223272088.62700	273931058948.41000	7432120.00000	0.88530	4657.00000	882018.62500	90000.00000	4780.00000	45070.00000	4047.00000
1992	1	DZA	Algeria	149267402915.43200	269326105453.20800	274691425101.40400	7613660.00000	0.94310	5369.00000	961660.93750	95576.00000	4780.00000	63080.00000	4290.00000
1993	1	DZA	Algeria	147565651714.92200	269319693596.10400	274363094065.40800	8055850.00000	1.01973	5369.00000	1066221.50000	98800.00000	4780.00000	67100.00000	3945.00000
1994	1	DZA	Algeria	145182926848.81900	270024901783.00100	274765698224.14700	8236300.00000	1.10052	5814.00000	1118105.12500	99974.00000	1350.00000	67980.00000	3945.00000
1995	1	DZA	Algeria	150988877702.22100	270829065460.17000	275285414114.84700	8697980.00000	1.18567	6007.00000	1156044.62500	102424.00000	4690.00000	70570.00000	4290.00000
1996	1	DZA	Algeria	159529235001.13300	270971302812.91400	275160270548.31000	8889340.00000	1.27550	6007.00000	1256712.25000	104000.00000	11700.00000	71760.00000	4772.00000
1997	1	DZA	Algeria	161020165719.03100	270470349027.29600	274407978698.56800	9376130.00000	1.37055	6039.00000	1392966.62500	104000.00000	17400.00000	71760.00000	4772.00000
1998	1	DZA	Algeria	165727175199.16000	273288478790.94600	276989850681.94200	9692119.00000	1.47173	6040.00000	1477000.00000	104000.00000	18000.00000	71656.00000	4772.00000
1999	1	DZA	Algeria	171945689309.68900	275545537087.37200	279024826664.90800	10010009.00000	1.58037	6044.00000	1600000.00000	104000.00000	72000.00000	71656.00000	4772.00000
2000	1	DZA	Algeria	179462410041.64300	275142531226.37300	278413063429.25700	10330278.00000	1.69704	6044.00000	1761327.00000	104000.00000	86000.00000	71656.00000	4820.00000
1960	2	ARG	Argentina	161595136617.37800	216339330070.57300	223145277572.15000	8040240.00000	0.11500	3474.00000	914656.00000	57056.00000	0.00000	15096.00000	43905.00000
1961	2	ARG	Argentina	169306306866.43100	234248998301.79200	240646588953.27400	8188390.00000	0.11920	3721.00000	963439.00000	53800.00000	0.00000	16013.00000	42813.00000
1962	2	ARG	Argentina	169335463059.28600	248358508100.26600	254372243312.65900	8323340.00000	0.12370	3995.00000	1024562.00000	50200.00000	0.00000	17061.00000	39985.00000
1963	2	ARG	Argentina	161904418251.94800	256624509729.76800	262277420829.41800	8449490.00000	0.12860	4713.00000	1061682.00000	46600.00000	0.00000	18179.00000	43751.00000
1964	2	ARG	Argentina	176395899500.32100	270981391125.11100	276295127558.78100	8570720.00000	0.13360	5092.00000	1093641.00000	46400.00000	0.00000	19369.00000	42819.00000
1965	2	ARG	Argentina	195407731049.12300	285612535693.05700	290607447940.70700	8690370.00000	0.13870	5432.00000	1100000.00000	45927.00000	0.00000	20637.00000	41907.00000
1966	2	ARG	Argentina	194231639840.76800	298230135530.60200	302925353043.39300	8811270.00000	0.14390	5479.00000	1122000.00000	45600.00000	0.00000	21988.00000	41434.00000
1967	2	ARG	Argentina	200264998516.25600	311226467114.39000	315639971576.41400	8935690.00000	0.14930	5553.00000	1142000.00000	45900.00000	0.00000	25701.00000	40165.00000
1968	2	ARG	Argentina	210007208126.53400	326168597142.02100	330317291336.32400	9065420.00000	0.15490	5860.00000	1179000.00000	45900.00000	0.00000	30040.00000	40641.00000
1969	2	ARG	Argentina	229437516844.94200	347936710534.90100	351836483077.54500	9201680.00000	0.16050	6367.00000	1233000.00000	45800.00000	0.00000	32364.00000	40235.00000
1970	2	ARG	Argentina	235326646117.30300	369320895322.38900	372986681512.47500	9345180.00000	0.16620	6691.00000	1287000.00000	46173.00000	0.00000	33369.00000	39905.00000
1971	2	ARG	Argentina	244711378885.88600	394012389284.50000	397458228303.18100	9504550.00000	0.17200	7111.00000	1347001.00000	45003.00000	0.00000	33398.00000	39822.00000
1972	2	ARG	Argentina	248880035865.51900	417724357787.20400	420963446464.76400	9667230.00000	0.17820	7587.00000	1449999.00000	43833.00000	0.00000	33958.00000	39816.00000
1973	2	ARG	Argentina	258658440106.94300	437792246314.35000	440836989671.25600	9831420.00000	0.19000	8345.00000	1542000.00000	42663.00000	0.00000	36820.00000	39805.00000
1974	2	ARG	Argentina	273504253960.29900	457151211723.51900	460013270479.01100	9995720.00000	0.19900	9128.00000	1629001.00000	42888.00000	0.00000	38306.00000	39782.00000
1975	2	ARG	Argentina	272298475192.45800	476173132421.48400	478863467651.64700	10159100.00000	0.20640	9260.00000	1651000.00000	43203.00000	0.00000	42036.00000	39787.00000
1976	2	ARG	Argentina	270723041450.11100	497260857459.57800	499789772575.93100	10055800.00000	0.21430	9856.00000	1677999.00000	43518.00000	0.00000	43732.00000	39779.00000
1977	2	ARG	Argentina	287284138801.64400	527470116355.42800	529847296564.79900	10209400.00000	0.22240	10073.00000	1692001.00000	43833.00000	0.00000	44377.00000	36996.00000
1978	2	ARG	Argentina	279416944776.22000	546297701583.31400	548532250980.12400	10361700.00000	0.23520	11187.00000	1728000.00000	44149.00000	0.00000	45679.00000	34393.00000
1979	2	ARG	Argentina	301661283611.11100	569165181388.46900	571265657821.46900	10516400.00000	0.24980	11498.00000	1797001.00000	41028.00000	0.00000	47550.00000	34350.00000
1980	2	ARG	Argentina	309823081797.84500	595757479513.34800	597731927360.36800	10675700.00000	0.26560	11988.00000	1878999.00000	37909.00000	0.00000	52194.00000	34192.00000
1981	2	ARG	Argentina	292770135838.01100	611649602987.34300	613505583963.54300	10838600.00000	0.28200	12220.00000	2199001.00000	34787.00000	0.00000	52646.00000	34106.00000
1982	2	ARG	Argentina	279066350988.81000	616300852117.28800	618045474234.91500	11004400.00000	0.29880	13480.00000	2361349.00000	35256.00000	0.00000	54516.00000	34029.00000
1983	2	ARG	Argentina	290042316083.07500	620829233304.33500	622469178094.90500	11172900.00000	0.31720	14872.00000	2271524.00000	35724.00000	0.00000	54746.00000	34061.00000
1984	2	ARG	Argentina	297003185893.35400	623367634583.35900	624909182686.49500	11343700.00000	0.33600	15297.00000	2599608.00000	36652.00000	0.00000	56049.00000	34057.00000
1985	2	ARG	Argentina	274834080593.59300	620152594951.43200	621601650168.37900	11515900.00000	0.35440	16058.00000	2710894.00000	36737.00000	0.00000	57907.00000	34159.00000
1986	2	ARG	Argentina	296479511462.95100	620901741063.16500	622263852967.09500	11688800.00000	0.37120	16255.00000	2859209.00000	36705.00000	0.00000	57281.00000	34140.00000
1987	2	ARG	Argentina	304323313883.64300	626515301370.07400	627795686559.76900	11861100.00000	0.38750	16593.00000	2965970.00000	36673.00000	0.00000	58622.00000	34140.00000
1988	2	ARG	Argentina	296209672605.80400	630274608597.05500	631478170675.36800	12031500.00000	0.40440	16600.00000	3175755.00000	36640.00000	0.00000	59995.00000	34059.00000
1989	2	ARG	Argentina	274937834830.87200	624882242914.26900	626013591267.88300	12198500.00000	0.42220	16600.00000	3321511.00000	36649.00000	2300.00000	61400.00000	34059.00000
1990	2	ARG	Argentina	270623451293.98200	614881740925.37600	615945208377.77400	12360300.00000	0.44030	17206.00000	3086954.50000	36677.00000	12000.00000	61400.00000	35753.00000
1991	2	ARG	Argentina	303791667339.19700	614161915383.44300	615161574788.69700	12524800.00000	0.45830	17469.00000	3198216.75000	36701.00000	25000.00000	61400.00000	35753.00000
1992	2	ARG	Argentina	340776534738.06600	625602479775.25300	626542159616.19200	12692200.00000	0.47780	17326.00000	3679986.50000	36837.00000	46600.00000	61400.00000	35753.00000
1993	2	ARG	Argentina	362252832982.10200	644100014610.33000	644983313660.81200	12862400.00000	0.49980	18035.00000	3979467.50000	36837.00000	112000.00000	61555.00000	35753.00000
1994	2	ARG	Argentina	382453277602.75600	669148829365.79500	669979130473.24900	13378700.00000	0.52198	19610.00000	4691984.00000	36945.00000	241000.00000	61586.00000	35753.00000
1995	2	ARG	Argentina	373048037634.79800	684360965178.34500	685141448219.35100	13559500.00000	0.54455	19920.00000	5531383.50000	36945.00000	341000.00000	61610.00000	35753.00000
1996	2	ARG	Argentina	389892686282.04100	703578814616.66400	704312468675.20900	13735800.00000	0.56776	19920.00000	6119555.00000	36945.00000	568000.00000	63516.00000	35753.00000
1997	2	ARG	Argentina	420158601254.06700	732289856217.28200	732979491032.31500	14268800.00000	0.59187	20162.00000	6825729.50000	38744.00000	1590000.00000	85939.00000	35753.00000
1998	2	ARG	Argentina	437344887871.56100	763920667474.05100	764568924200.18200	14567004.00000	0.60628	23046.00000	7323105.00000	37371.00000	2530000.00000	63553.03125	35753.00000
